---------------------------------------------
t 	 w 	 y=y(t) 	 [y-w]
---------------------------------------------
0 	 0.5 	 0.5 	 0
0.2000000 	 0.8000000 	 0.8292986 	 0.0292986
0.4000000 	 1.1520000 	 1.2140877 	 0.0620877
0.6000000 	 1.5504000 	 1.6489406 	 0.0985406
0.8000000 	 1.9884800 	 2.1272295 	 0.1387495
1.0000000 	 2.4581760 	 2.6408591 	 0.1826831
1.2000000 	 2.9498112 	 3.1799415 	 0.2301303
1.4000000 	 3.4517734 	 3.7324000 	 0.2806266
1.6000000 	 3.9501281 	 4.2834838 	 0.3333557
1.8000000 	 4.4281538 	 4.8151763 	 0.3870225
2.0000000 	 4.8657845 	 5.3054720 	 0.4396874
