---------------------------------------------
ti                wi              Error
---------------------------------------------
0                0.5          0
0.200000       0.618767       0.210532
0.400000       0.754946       0.459142
0.600000       0.894680       0.754261
0.800000       1.021045       1.106185
1.000000       1.113368       1.527491
1.200000       1.146401       2.033541
1.400000       1.089305       2.643095
1.600000       0.904413       3.379071
1.800000       0.545719       4.269457
2.000000       -0.042968       5.348440
